36,30,11,0,0,0,4,0,1
1219,462,399,0,0,0,41,0,1
222,155,66,0,0,0,13,1,1
101,84,10,0,0,0,26,0,1
152,112,40,0,0,0,17,0,1
468,250,139,0,0,0,66,0,1  
115,78,17,4,1,1,15,0,1
125,98,18,0,0,0,29,0,1
115,78,17,4,1,1,15,0,1
221,161,80,0,0,0,4,0,1
422,237,149,5,5,2,22,2,1
94,76,33,0,0,0,2,0,1
47,42,12,0,0,0,6,0,1
208,130,57,0,0,0,6,0,1
132,79,50,3,3,0,0,0,1
45,45,0,0,0,0,6,0,1
69,66,7,0,0,0,2,0,1
583,285,225,3,2,1,18,0,1
1008,414,379,0,0,0,34,2,1
78,59,28,1,1,0,0,0,1
105,70,34,0,0,0,4,0,1
144,132,24,0,0,0,10,0,1
178,116,68,0,0,0,1,0,1
229,210,8,0,0,0,32,0,1
36,35,2,0,0,0,10,1,1
415,218,123,1,1,3,8,0,1
143,133,22,0,0,0,9,1,1          
342,209,2,0,0,0,166,0,1
91,57,21,0,0,0,3,0,1
592,286,240,0,0,0,20,2,1
86,66,31,0,0,0,4,0,1
275,166,95,0,0,0,23,1,1
149,111,53,0,0,0,4,0,1
41,35,15,0,0,0,1,2,1
2653,762,1034,0,0,0,13,1,1
24,22,0,0,0,0,13,0,1
85,81,14,0,0,0,12,0,1
87,52,22,0,0,0,5,0,1
90,70,33,0,0,0,4,1,1
76,62,19,0,0,0,6,0,1
126,96,35,0,0,0,11,0,1
180,114,50,0,0,0,5,0,1
1,1,0,0,0,0,0,0,1
113,85,25,0,0,0,27,1,1
228,224,14,0,0,0,177,0,1
55,43,20,0,0,0,11,0,1
111,80,25,0,0,0,5,0,1
46,45,3,0,0,0,2,0,1
211,146,84,0,0,0,5,0,1
478,258,139,0,0,0,65,1,1
52,45,18,0,0,0,1,0,1
753,315,257,0,0,0,17,1,1
11,11,1,0,0,0,2,0,1
20,19,7,0,0,0,0,0,1
410,231,135,0,0,0,17,2,1
96,74,25,0,0,0,6,0,1
83,66,28,0,0,0,10,0,1
57,46,21,0,0,0,5,0,1
52,45,20,0,0,0,3,0,1
392,185,11,0,0,0,199,0,1
125,87,37,0,0,0,6,1,1
162,114,50,1,1,0,8,1,1
161,101,60,0,0,0,6,2,1
129,84,58,0,0,0,1,0,1
11,11,1,0,0,0,4,0,1
531,252,222,0,0,0,9,1,1
2299,609,942,4,1,4,27,3,1
116,70,42,0,0,0,1,0,1
252,181,5,0,0,0,54,0,1
79,67,25,0,0,0,4,0,1
12,11,2,0,0,0,2,0,1
811,287,315,0,0,0,19,2,1
12,12,1,0,0,0,2,0,1
212,129,82,0,0,0,7,2,1
85,67,25,0,0,0,10,0,1
141,101,47,1,1,1,13,1,1
149,107,57,0,0,0,17,0,1
24,23,6,0,0,0,4,0,1
114,75,51,4,3,0,5,0,1
312,181,100,2,1,0,8,1,1
250,145,77,4,3,0,23,0,1
639,293,216,0,0,0,22,0,1
660,288,186,0,0,0,53,1,1
50,41,22,0,0,0,1,0,1
45,44,8,0,0,0,1,1,1
123,105,28,0,0,0,6,0,1
104,93,21,0,0,0,34,0,1
120,91,29,0,0,0,18,1,1
27,24,9,0,0,0,3,0,1
498,254,8,0,0,0,249,0,1
46,42,6,0,0,0,3,0,1
158,156,3,0,0,0,20,0,1
42,37,10,0,0,0,0,0,1
218,162,64,0,0,0,35,0,1
79,57,29,0,0,0,4,0,1
119,87,29,1,1,0,9,1,1
51,47,9,0,0,0,6,1,1
310,196,104,0,0,0,45,1,1
94,68,27,3,3,4,16,0,1
131,114,8,0,0,0,19,0,1
2730,815,981,2,2,0,18,0,1
101,82,20,0,0,0,28,0,1
33,32,3,0,0,0,10,0,1
88,69,33,0,0,0,11,0,1
122,120,7,0,0,0,22,0,1
1784,226,549,0,0,0,95,1,1
82,58,30,0,0,0,2,0,1
237,140,60,0,0,0,24,1,1
46,41,13,0,0,0,4,0,1
